School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
L. O. KIMBERLY ELEMENTARY SCHOOL,Georgia,L. O. Kimberly Elementary School,Fulton County,30311,1-Regular school,2-No,33.701900,-84.490100,Elementary,Prekindergarten,5th Grade,300,300,144,0,300,236,†,21,43,153,147,0,0,17,282,0,0,1,300,10.10
LAKESIDE HIGH SCHOOL,Georgia,Lakeside High School,DeKalb County,30345,1-Regular school,2-No,33.845300,-84.284800,High,9th Grade,12th Grade,2186,980,315,90,1070,†,2186,†,†,1132,1054,7,83,938,406,674,1,77,2186,17.15
LAUREL RIDGE ELEMENTARY SCHOOL,Georgia,Laurel Ridge Elementary School,DeKalb County,30033,1-Regular school,2-No,33.815400,-84.276000,Elementary,Prekindergarten,5th Grade,440,182,72,11,193,335,†,45,60,231,209,3,40,86,99,174,1,37,440,11.89
LIBERATION ACADEMY,GEORGIA,Liberation Academy,Fulton County,30337,1-Regular school,1-Yes,33.660719,-84.445933,Middle,5th Grade,8th Grade,76,†,†,†,†,76,†,†,†,42,34,1,0,0,74,1,0,0,76,9.50
M. A. JONES ELEMENTARY SCHOOL,Georgia,M. A. Jones Elementary School,Fulton County,30314,1-Regular school,2-No,33.748500,-84.421800,Elementary,Prekindergarten,5th Grade,481,481,207,0,481,373,†,37,71,245,236,0,3,7,459,3,1,8,481,13.36
MAIN STREET CHARTER ACADEMY,Georgia,Main Street Charter Academy,Fulton County,30337,1-Regular school,1-Yes,33.641596,-84.481704,Elementary,Kindergarten,8th Grade,831,471,11,92,563,764,†,†,67,433,398,5,2,34,750,19,0,21,831,16.62
MARGARET HARRIS COMPREHENSIVE SCHOOL,Georgia,Margaret Harris Comprehensive School,DeKalb County,30329,1-Regular school,2-No,33.829400,-84.320900,Other,Prekindergarten,12th Grade,76,63,20,1,64,43,31,1,1,49,27,0,9,9,46,8,1,3,76,4.90
MARTIN L. KING JR. MIDDLE SCHOOL,Georgia,Martin L. King Jr. Middle School,Fulton County,30312,1-Regular school,2-No,33.738600,-84.380600,Middle,6th Grade,8th Grade,801,745,320,0,745,801,†,†,†,414,387,2,4,53,597,117,0,28,801,13.81
MARY LIN ELEMENTARY SCHOOL,Georgia,Mary Lin Elementary School,DeKalb County,30307,1-Regular school,2-No,33.769600,-84.340300,Elementary,Kindergarten,5th Grade,509,22,6,2,24,445,†,†,64,254,255,1,19,29,43,379,0,38,509,14.34
MAYNARD JACKSON HIGH SCHOOL,Georgia,Maynard Jackson High School,Fulton County,30316,1-Regular school,2-No,33.739300,-84.361900,High,9th Grade,12th Grade,1551,728,429,74,802,†,1551,†,†,772,779,2,10,133,1084,279,4,39,1551,13.46
